# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 943792262
#
# Overhead  Command  Shared Object         Symbol
# ........  .......  ....................  .....................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  a.out    libasan.so.8.0.0      [.] __sanitizer::SizeClassAllocator32<__sanitizer::AP32>::PopulateFreeList(__sanitizer::AllocatorStats*, __sanitizer::SizeClassAllocator32LocalCache<__sanitizer::SizeClassAllocator32<__sanitizer::AP32> >*, __sanitizer::SizeClassAllocator32<__sanitizer::AP32>::SizeClassInfo*, unsigned long)
     0.08%  a.out    libasan.so.8.0.0      [.] __interceptor_trampoline___tls_get_addr
     0.08%  a.out    libc.so.6             [.] __memset_avx2_unaligned
     0.08%  a.out    [kernel.kallsyms]     [k] irqentry_exit
     0.08%  a.out    libasan.so.8.0.0      [.] __lsan::ScanRangeForPointers(unsigned long, unsigned long, __sanitizer::InternalMmapVector<unsigned long>*, char const*, __lsan::ChunkTag)
     0.08%  a.out    [kernel.kallsyms]     [k] __handle_mm_fault
     0.07%  a.out    [kernel.kallsyms]     [k] mas_walk
     0.06%  a.out    ld-linux-x86-64.so.2  [.] _dl_check_map_versions
     0.05%  a.out    [kernel.kallsyms]     [k] kmem_cache_alloc
     0.04%  a.out    libasan.so.8.0.0      [.] __lsan::LsanMetadata::LsanMetadata(unsigned long)
     0.04%  a.out    [kernel.kallsyms]     [k] mod_memcg_state
     0.03%  a.out    [kernel.kallsyms]     [k] security_inode_alloc
     0.01%  a.out    [kernel.kallsyms]     [k] mas_preallocate
     0.01%  a.out    [kernel.kallsyms]     [k] cond_accept_memory
     0.00%  a.out    [kernel.kallsyms]     [k] mas_wr_node_store
     0.00%  a.out    [kernel.kallsyms]     [k] perf_event_mmap_output
     0.00%  a.out    [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.00%  a.out    [kernel.kallsyms]     [k] nohz_balance_exit_idle
     0.00%  a.out    [kernel.kallsyms]     [k] flush_signal_handlers
     0.00%  a.out    [kernel.kallsyms]     [k] cap_task_prctl
     0.00%  perf-ex  [kernel.kallsyms]     [k] perf_iterate_sb.constprop.0
     0.00%  a.out    [kernel.kallsyms]     [k] do_syscall_64
     0.00%  perf-ex  [kernel.kallsyms]     [k] strscpy
     0.00%  a.out    libasan.so.8.0.0      [.] __sanitizer::TracerThread(void*)
     0.00%  perf-ex  [kernel.kallsyms]     [k] perf_event_comm_event.constprop.0
     0.00%  a.out    libasan.so.8.0.0      [.] __sanitizer::internal_clone(int (*)(void*), void*, int, void*, int*, void*, int*)
     0.00%  perf-ex  [kernel.kallsyms]     [k] __memset
     0.00%  a.out    [kernel.kallsyms]     [k] amd_pmu_enable_all
     0.00%  perf-ex  [kernel.kallsyms]     [k] amd_pmu_enable_all


#
# (Cannot load tips.txt file, please install perf!)
#
